,transcription_factor,target_gene
564,G152,G739
565,G220,G745
566,G87,G747
567,G301,G748
568,G223,G750
569,G1,G752
570,G87,G752
571,G111,G752
572,G168,G752
573,G303,G752
574,G14,G769
575,G214,G769
576,G273,G769
577,G76,G774
578,G152,G776
579,G327,G776
580,G61,G779
581,G214,G780
582,G41,G782
583,G138,G790
584,G217,G794
585,G14,G803
586,G47,G803
587,G61,G803
588,G87,G803
589,G111,G803
590,G136,G803
591,G143,G803
592,G15,G807
593,G101,G807
594,G316,G807
595,G138,G810
596,G211,G816
597,G22,G825
598,G68,G825
599,G76,G825
600,G87,G825
601,G110,G825
602,G171,G825
603,G41,G828
604,G14,G836
605,G94,G836
606,G273,G836
607,G22,G840
608,G87,G840
609,G112,G840
610,G61,G841
611,G68,G841
612,G152,G841
613,G171,G841
614,G76,G842
615,G217,G842
616,G222,G842
617,G76,G845
618,G71,G849
619,G62,G852
620,G158,G852
621,G219,G852
622,G289,G852
623,G316,G852
624,G61,G853
625,G222,G853
626,G34,G856
627,G274,G856
628,G50,G861
629,G171,G861
630,G98,G862
631,G138,G868
632,G65,G878
633,G86,G879
634,G138,G879
635,G223,G886
636,G319,G886
637,G301,G888
638,G117,G890
639,G247,G890
640,G41,G892
641,G219,G892
642,G76,G893
643,G143,G893
644,G219,G893
645,G222,G893
646,G258,G893
647,G34,G894
648,G219,G894
649,G1,G904
650,G98,G904
651,G172,G904
652,G136,G905
653,G319,G905
654,G71,G909
655,G121,G909
656,G143,G909
657,G76,G913
658,G1,G917
659,G14,G917
660,G15,G917
661,G22,G917
662,G61,G917
663,G71,G917
664,G87,G917
665,G139,G917
666,G222,G917
667,G97,G919
668,G17,G921
669,G41,G921
670,G61,G921
671,G87,G921
672,G117,G923
673,G303,G923
674,G319,G923
675,G224,G930
676,G1,G931
677,G98,G931
678,G121,G931
679,G316,G931
680,G11,G935
681,G211,G935
682,G233,G935
683,G19,G938
684,G68,G938
685,G104,G941
686,G112,G941
687,G104,G942
688,G160,G944
689,G176,G951
690,G224,G951
691,G19,G954
692,G68,G954
693,G1,G955
694,G61,G955
695,G109,G955
696,G222,G955
697,G11,G957
698,G15,G957
699,G45,G957
700,G47,G957
701,G87,G957
702,G101,G957
703,G112,G957
704,G152,G957
705,G273,G957
706,G50,G959
707,G87,G962
708,G219,G962
709,G137,G963
710,G138,G966
711,G41,G971
712,G212,G971
713,G222,G971
714,G138,G975
715,G152,G976
716,G138,G978
717,G1,G990
718,G98,G990
719,G223,G995
720,G41,G996
721,G76,G996
722,G121,G996
723,G296,G996
724,G319,G998
725,G1,G1000
726,G15,G1000
727,G87,G1000
728,G98,G1000
729,G104,G1000
730,G112,G1000
731,G152,G1000
732,G168,G1000
733,G227,G1000
734,G172,G1001
735,G71,G1008
736,G138,G1011
737,G104,G1014
738,G76,G1016
739,G224,G1016
740,G121,G1019
741,G296,G1019
742,G138,G1020
743,G22,G1028
744,G87,G1028
745,G112,G1028
746,G109,G1029
747,G71,G1031
748,G109,G1031
749,G62,G1033
750,G224,G1035
751,G22,G1039
752,G160,G1042
753,G97,G1043
754,G1,G1047
755,G98,G1047
756,G121,G1047
757,G172,G1047
758,G95,G1051
759,G104,G1051
760,G212,G1051
761,G71,G1053
762,G87,G1053
763,G121,G1053
764,G168,G1053
765,G1,G1055
766,G172,G1055
767,G104,G1060
768,G152,G1060
769,G97,G1061
770,G172,G1063
771,G301,G1067
772,G199,G1068
773,G1,G1069
774,G41,G1070
775,G158,G1070
776,G219,G1070
777,G76,G1071
778,G160,G1071
779,G227,G1071
780,G138,G1072
781,G219,G1072
782,G222,G1073
783,G34,G1076
784,G98,G1076
785,G45,G1085
786,G101,G1085
787,G139,G1085
788,G34,G1092
789,G41,G1092
790,G274,G1092
791,G15,G1094
792,G71,G1094
793,G104,G1094
794,G109,G1094
795,G112,G1094
796,G143,G1094
797,G152,G1094
798,G205,G1094
799,G227,G1094
800,G41,G1097
801,G61,G1099
802,G68,G1099
803,G152,G1099
804,G171,G1099
805,G298,G1103
806,G221,G1104
807,G158,G1105
808,G65,G1112
809,G95,G1112
810,G160,G1119
811,G1,G1125
812,G71,G1127
813,G104,G1127
814,G152,G1127
815,G223,G1132
816,G319,G1132
817,G223,G1135
818,G41,G1136
819,G41,G1137
820,G76,G1139
821,G224,G1139
822,G301,G1139
823,G214,G1140
824,G327,G1140
825,G273,G1141
826,G126,G1142
827,G222,G1142
828,G41,G1145
829,G68,G1146
830,G171,G1146
831,G98,G1158
832,G1,G1163
833,G76,G1163
834,G98,G1163
835,G104,G1163
836,G112,G1163
837,G152,G1163
838,G172,G1163
839,G41,G1169
840,G224,G1175
841,G138,G1180
842,G211,G1183
843,G221,G1183
844,G124,G1186
845,G97,G1187
846,G298,G1189
847,G61,G1196
848,G121,G1196
849,G212,G1196
850,G222,G1196
851,G214,G1204
852,G41,G1206
853,G104,G1206
854,G65,G1208
855,G95,G1208
856,G65,G1217
857,G138,G1217
858,G279,G1217
859,G14,G1221
860,G15,G1221
861,G22,G1221
862,G45,G1221
863,G47,G1221
864,G101,G1221
865,G152,G1221
866,G158,G1221
867,G273,G1221
868,G50,G1227
869,G61,G1229
870,G71,G1229
871,G124,G1229
872,G222,G1229
873,G76,G1230
874,G160,G1230
875,G171,G1232
876,G22,G1236
877,G41,G1237
878,G11,G1238
879,G211,G1238
880,G50,G1240
881,G76,G1240
882,G138,G1243
883,G62,G1250
884,G289,G1250
885,G316,G1250
886,G15,G1251
887,G45,G1251
888,G61,G1251
889,G87,G1251
890,G95,G1251
891,G104,G1251
892,G112,G1251
893,G139,G1251
894,G143,G1251
895,G152,G1251
896,G154,G1251
897,G171,G1251
898,G227,G1251
899,G276,G1251
900,G111,G1255
901,G1,G1256
902,G98,G1256
903,G127,G1259
904,G224,G1259
905,G298,G1264
906,G273,G1265
907,G1,G1266
908,G157,G1266
909,G76,G1267
910,G104,G1267
911,G112,G1267
912,G121,G1267
913,G152,G1267
914,G160,G1267
915,G117,G1269
916,G111,G1273
917,G273,G1273
918,G50,G1274
919,G76,G1274
920,G126,G1274
921,G138,G1274
922,G158,G1274
923,G224,G1274
924,G160,G1280
925,G298,G1293
926,G222,G1296
927,G110,G1297
928,G122,G1297
929,G205,G1297
930,G224,G1297
931,G86,G1298
932,G111,G1298
933,G138,G1299
934,G298,G1299
935,G298,G1302
936,G319,G1306
937,G324,G1306
938,G104,G1309
939,G152,G1309
940,G138,G1310
941,G41,G1311
942,G68,G1314
943,G94,G1314
944,G171,G1314
945,G22,G1315
946,G219,G1319
947,G203,G1320
948,G41,G1321
949,G224,G1324
950,G276,G1324
951,G76,G1327
952,G138,G1327
953,G160,G1327
954,G112,G1329
955,G152,G1329
956,G76,G1334
957,G86,G1334
958,G104,G1334
959,G112,G1334
960,G41,G1335
961,G302,G1337
962,G298,G1343
963,G111,G1344
964,G138,G1346
965,G76,G1347
966,G224,G1347
967,G126,G1356
968,G1,G1358
969,G112,G1358
970,G152,G1358
971,G14,G1359
972,G158,G1364
973,G219,G1364
974,G15,G1366
975,G219,G1366
976,G223,G1366
977,G76,G1367
978,G298,G1367
979,G50,G1369
980,G76,G1369
981,G301,G1370
982,G76,G1371
983,G224,G1372
984,G1,G1373
985,G98,G1373
986,G121,G1373
987,G316,G1373
988,G220,G1375
989,G1,G1376
990,G87,G1376
991,G101,G1376
992,G235,G1376
993,G254,G1376
994,G157,G1378
995,G45,G1380
996,G71,G1380
997,G104,G1380
998,G143,G1380
999,G152,G1380
1000,G227,G1380
1001,G41,G1386
1002,G136,G1388
1003,G319,G1388
1004,G41,G1389
1005,G223,G1389
1006,G94,G1395
1007,G22,G1398
1008,G138,G1399
1009,G76,G1404
1010,G298,G1404
1011,G41,G1406
1012,G138,G1406
1013,G15,G1407
1014,G111,G1407
1015,G76,G1409
1016,G138,G1409
1017,G1,G1411
1018,G98,G1411
1019,G136,G1413
1020,G212,G1413
1021,G224,G1413
1022,G111,G1414
1023,G222,G1415
1024,G223,G1416
1025,G109,G1421
1026,G298,G1421
1027,G41,G1424
1028,G97,G1425
1029,G223,G1425
1030,G87,G1433
1031,G219,G1433
1032,G87,G1445
1033,G117,G1445
1034,G158,G1445
1035,G160,G1445
1036,G104,G1452
1037,G41,G1459
1038,G15,G1461
1039,G22,G1461
1040,G101,G1461
1041,G76,G1462
1042,G97,G1465
1043,G143,G1466
1044,G231,G1468
1045,G104,G1469
1046,G41,G1474
1047,G50,G1474
1048,G76,G1474
1049,G138,G1474
1050,G147,G1474
1051,G199,G1474
1052,G68,G1477
1053,G171,G1477
1054,G95,G1480
1055,G121,G1481
1056,G298,G1481
1057,G104,G1490
1058,G219,G1491
1059,G219,G1493
1060,G319,G1500
1061,G127,G1507
1062,G76,G1511
1063,G135,G1511
1064,G160,G1511
1065,G221,G1511
1066,G41,G1512
1067,G15,G1513
1068,G119,G1513
1069,G121,G1513
1070,G298,G1514
1071,G41,G1517
1072,G97,G1517
1073,G110,G1518
1074,G224,G1518
1075,G223,G1527
1076,G319,G1527
1077,G104,G1528
1078,G14,G1529
1079,G97,G1529
1080,G171,G1529
1081,G1,G1530
1082,G98,G1530
1083,G95,G1531
1084,G112,G1531
1085,G143,G1531
1086,G152,G1531
1087,G154,G1531
1088,G172,G1531
1089,G219,G1531
1090,G86,G1532
1091,G41,G1538
1092,G319,G1540
1093,G199,G1542
1094,G15,G1545
1095,G45,G1545
1096,G136,G1546
1097,G41,G1548
1098,G223,G1548
1099,G76,G1549
1100,G172,G1549
1101,G94,G1551
1102,G121,G1558
1103,G14,G1561
1104,G47,G1561
1105,G61,G1561
1106,G87,G1561
1107,G111,G1561
1108,G136,G1561
1109,G143,G1561
1110,G223,G1563
1111,G273,G1563
1112,G324,G1563
1113,G104,G1564
1114,G152,G1564
1115,G224,G1567
1116,G41,G1569
1117,G138,G1578
1118,G11,G1582
1119,G211,G1582
1120,G219,G1582
1121,G1,G1583
1122,G98,G1583
1123,G41,G1584
1124,G71,G1584
1125,G109,G1584
1126,G147,G1585
1127,G168,G1585
1128,G199,G1585
1129,G295,G1585
1130,G68,G1586
1131,G94,G1586
1132,G171,G1586
1133,G138,G1587
1134,G25,G1588
1135,G41,G1592
1136,G138,G1592
1137,G214,G1593
1138,G327,G1593
1139,G224,G1596
1140,G224,G1602
1141,G87,G1604
1142,G223,G1604
1143,G319,G1604
1144,G219,G1608
1145,G168,G1622
1146,G19,G1624
1147,G160,G1636
1148,G41,G1638
1149,G71,G1644
1150,G109,G1644
1151,G121,G1644
1152,G143,G1644
1153,G138,G1648
1154,G298,G1648
1155,G41,G1650
1156,G22,G1652
1157,G76,G1652
1158,G221,G1652
1159,G95,G1657
1160,G61,G1663
1161,G104,G1663
1162,G109,G1663
1163,G112,G1663
1164,G152,G1663
1165,G222,G1663
1166,G41,G1664
1167,G97,G1664
1168,G222,G1669
1169,G98,G1671
1170,G14,G1672
1171,G15,G1672
1172,G22,G1672
1173,G45,G1672
1174,G47,G1672
1175,G101,G1672
1176,G152,G1672
1177,G158,G1672
1178,G273,G1672
1179,G71,G1674
1180,G102,G1674
1181,G109,G1674
1182,G217,G1674
1183,G76,G1676
1184,G160,G1676
1185,G227,G1676
1186,G138,G1680
1187,G160,G1680
1188,G68,G1691
1189,G102,G1691
1190,G117,G1691
1191,G22,G1692
1192,G139,G1692
1193,G76,G1694
1194,G137,G1695
1195,G211,G1696
1196,G11,G1698
1197,G34,G1698
1198,G47,G1698
1199,G143,G1698
1200,G211,G1698
1201,G219,G1698
1202,G274,G1698
1203,G45,G1699
1204,G101,G1699
1205,G111,G1699
1206,G211,G1699
1207,G221,G1699
1208,G254,G1699
1209,G257,G1699
1210,G273,G1699
1211,G223,G1702
1212,G319,G1702
1213,G15,G1709
1214,G224,G1709
1215,G224,G1714
1216,G158,G1716
1217,G302,G1723
1218,G109,G1729
1219,G219,G1731
1220,G168,G1732
1221,G104,G1734
1222,G160,G1736
1223,G319,G1737
1224,G138,G1751
1225,G17,G1754
1226,G41,G1754
1227,G61,G1754
1228,G87,G1754
1229,G41,G1757
1230,G76,G1762
1231,G221,G1762
1232,G34,G1763
1233,G111,G1763
1234,G219,G1763
1235,G250,G1763
1236,G274,G1763
1237,G316,G1763
1238,G1,G1764
1239,G41,G1764
1240,G137,G1764
1241,G101,G1765
1242,G258,G1769
1243,G15,G1773
1244,G45,G1773
1245,G61,G1773
1246,G87,G1773
1247,G95,G1773
1248,G104,G1773
1249,G112,G1773
1250,G139,G1773
1251,G143,G1773
1252,G152,G1773
1253,G154,G1773
1254,G171,G1773
1255,G227,G1773
1256,G276,G1773
1257,G319,G1776
1258,G104,G1777
1259,G152,G1777
1260,G302,G1778
1261,G160,G1779
1262,G22,G1780
1263,G68,G1780
1264,G87,G1780
1265,G95,G1780
1266,G110,G1780
1267,G222,G1780
1268,G1,G1781
1269,G98,G1781
1270,G1,G1782
1271,G98,G1782
1272,G109,G1782
1273,G97,G1784
1274,G221,G1784
1275,G110,G1788
1276,G158,G1788
1277,G224,G1788
1278,G60,G1795
1279,G102,G1795
1280,G223,G1795
1281,G319,G1795
1282,G50,G1809
1283,G76,G1809
1284,G136,G1811
1285,G71,G1817
1286,G111,G1818
1287,G224,G1818
1288,G76,G1819
1289,G87,G1819
1290,G214,G1821
1291,G1,G1824
1292,G98,G1824
1293,G112,G1824
1294,G139,G1824
1295,G152,G1824
1296,G76,G1826
1297,G298,G1830
1298,G138,G1833
1299,G231,G1834
1300,G97,G1837
1301,G50,G1847
1302,G68,G1849
1303,G171,G1849
1304,G41,G1853
1305,G76,G1860
1306,G15,G1861
1307,G11,G1878
1308,G34,G1878
1309,G47,G1878
1310,G143,G1878
1311,G211,G1878
1312,G219,G1878
1313,G274,G1878
1314,G1,G1880
1315,G152,G1880
1316,G138,G1881
1317,G97,G1885
1318,G41,G1891
1319,G41,G1893
1320,G126,G1898
1321,G41,G1900
1322,G62,G1904
1323,G158,G1906
1324,G111,G1908
1325,G276,G1908
1326,G1,G1911
1327,G15,G1911
1328,G45,G1911
1329,G87,G1911
1330,G101,G1911
1331,G111,G1911
1332,G273,G1911
1333,G319,G1911
1334,G298,G1915
1335,G152,G1920
1336,G327,G1920
1337,G71,G1922
1338,G95,G1922
1339,G143,G1922
1340,G171,G1922
1341,G104,G1924
1342,G62,G1928
1343,G219,G1928
1344,G319,G1929
1345,G298,G1937
1346,G138,G1938
1347,G98,G1940
1348,G144,G1940
1349,G203,G1940
1350,G250,G1940
1351,G41,G1943
1352,G5,G1952
1353,G276,G1952
1354,G1,G1957
1355,G15,G1957
1356,G87,G1957
1357,G98,G1957
1358,G104,G1957
1359,G112,G1957
1360,G152,G1957
1361,G168,G1957
1362,G227,G1957
1363,G211,G1958
1364,G98,G1959
1365,G50,G1961
1366,G171,G1961
1367,G117,G1962
1368,G224,G1962
1369,G329,G1962
1370,G76,G1965
1371,G76,G1966
1372,G147,G1966
1373,G199,G1966
1374,G295,G1966
1375,G211,G1970
1376,G221,G1970
1377,G224,G1975
1378,G76,G1979
1379,G94,G1980
1380,G157,G1980
1381,G1,G1983
1382,G94,G1983
1383,G160,G1986
1384,G199,G1986
1385,G224,G1986
1386,G301,G1986
1387,G62,G1987
1388,G158,G1987
1389,G316,G1987
1390,G212,G1991
1391,G41,G1992
1392,G298,G1992
1393,G41,G1998
1394,G138,G1999
1395,G76,G2002
1396,G11,G2004
1397,G34,G2004
1398,G45,G2004
1399,G111,G2004
1400,G273,G2004
1401,G274,G2004
1402,G211,G2005
1403,G223,G2006
1404,G76,G2010
1405,G158,G2011
1406,G1,G2012
1407,G50,G2012
1408,G98,G2012
1409,G172,G2012
1410,G34,G2013
1411,G117,G2013
1412,G219,G2013
1413,G274,G2013
1414,G303,G2013
1415,G276,G2020
1416,G87,G2022
1417,G104,G2022
1418,G152,G2022
1419,G301,G2024
1420,G138,G2029
1421,G274,G2030
1422,G160,G2034
1423,G245,G2034
1424,G256,G2037
1425,G34,G2042
1426,G138,G2044
1427,G109,G2046
1428,G111,G2047
1429,G104,G2049
1430,G104,G2050
1431,G152,G2050
1432,G1,G2051
1433,G76,G2051
1434,G98,G2051
1435,G172,G2051
1436,G15,G2052
1437,G71,G2052
1438,G98,G2053
1439,G139,G2053
1440,G176,G2053
1441,G229,G2053
1442,G258,G2053
1443,G276,G2053
1444,G121,G2055
1445,G298,G2055
1446,G41,G2060
1447,G160,G2060
1448,G301,G2063
1449,G104,G2067
1450,G41,G2074
1451,G212,G2074
1452,G138,G2076
1453,G160,G2076
1454,G327,G2083
1455,G22,G2086
1456,G121,G2086
1457,G117,G2088
1458,G224,G2088
1459,G22,G2093
1460,G68,G2093
1461,G171,G2093
1462,G319,G2094
1463,G301,G2095
1464,G111,G2096
1465,G273,G2096
1466,G222,G2097
1467,G152,G2100
1468,G138,G2105
1469,G61,G2107
1470,G121,G2107
1471,G212,G2107
1472,G222,G2107
1473,G104,G2111
1474,G71,G2112
1475,G109,G2112
1476,G61,G2117
1477,G87,G2117
1478,G136,G2117
1479,G143,G2117
1480,G22,G2118
1481,G68,G2118
1482,G171,G2118
1483,G76,G2120
1484,G86,G2120
1485,G104,G2120
1486,G112,G2120
1487,G224,G2122
1488,G329,G2122
1489,G319,G2124
1490,G15,G2126
1491,G101,G2126
1492,G316,G2126
1493,G11,G2132
1494,G68,G2132
1495,G87,G2132
1496,G117,G2132
1497,G171,G2132
1498,G211,G2132
1499,G247,G2132
1500,G303,G2132
1501,G1,G2135
1502,G71,G2135
1503,G121,G2135
1504,G143,G2135
1505,G41,G2141
1506,G1,G2142
1507,G98,G2142
1508,G212,G2142
1509,G223,G2142
1510,G15,G2144
1511,G136,G2144
1512,G302,G2144
1513,G1,G2150
1514,G50,G2150
1515,G98,G2150
1516,G172,G2150
1517,G97,G2155
1518,G45,G2156
1519,G219,G2156
1520,G138,G2157
1521,G19,G2159
1522,G319,G2159
1523,G110,G2167
1524,G97,G2168
1525,G160,G2172
1526,G223,G2172
1527,G68,G2175
1528,G94,G2175
1529,G111,G2175
1530,G223,G2176
1531,G319,G2176
1532,G41,G2183
1533,G76,G2187
1534,G147,G2187
1535,G212,G2187
1536,G76,G2188
1537,G85,G2189
1538,G87,G2189
1539,G288,G2189
1540,G302,G2189
1541,G212,G2196
1542,G41,G2198
1543,G211,G2206
1544,G22,G2207
1545,G76,G2207
1546,G221,G2207
1547,G172,G2208
1548,G126,G2225
1549,G104,G2226
1550,G152,G2226
1551,G214,G2226
1552,G41,G2231
1553,G102,G2233
1554,G160,G2239
1555,G223,G2242
1556,G319,G2242
1557,G324,G2242
1558,G212,G2245
1559,G87,G2249
1560,G104,G2252
1561,G171,G2253
1562,G298,G2253
1563,G327,G2254
1564,G76,G2255
1565,G147,G2255
1566,G295,G2255
1567,G1,G2259
1568,G98,G2259
